2026-09-22 06:50:06,4,1
2026-09-22 07:05:21,4,1
2026-09-22 07:20:36,4,1
2026-09-22 07:35:49,4,1
2026-09-22 07:51:05,4,1
2026-09-22 08:06:23,4,1
2026-09-22 08:21:35,4,1
2026-09-22 08:36:47,4,1
2026-09-22 08:52:01,4,1
2026-09-22 09:07:15,4,1
2026-09-22 09:22:28,4,1
2026-09-22 09:37:48,4,1
2026-09-22 09:53:11,4,1
2026-09-22 10:08:27,4,1
2026-09-22 10:23:41,4,1
2026-09-22 10:38:53,4,1
2026-09-22 10:54:10,4,1
2026-09-22 11:09:24,4,1
2026-09-22 11:24:38,4,1
2026-09-22 11:39:50,4,1
2026-09-22 11:55:01,4,1
2026-09-22 12:10:15,4,1
2026-09-22 12:25:32,4,1
2026-09-22 12:40:44,4,1
